user_id,interest_data_analysis,interest_ai_ml,interest_software_development,interest_web_development,interest_cloud_infrastructure,interest_business_problem_solving,skill_python,skill_sql,skill_statistics,skill_machine_learning,skill_programming_fundamentals,skill_web_development,skill_cloud,skill_devops,skill_data_visualisation,skill_git,preferred_work_type,preferred_learning_style,career_goal,target_role
U00001,4,4,2,2,2,5,4,5,3,3,2,1,1,1,4,3,Analytical,Visual,Exploring Options,Data Analyst
U00002,4,4,3,2,1,4,3,5,4,1,3,1,1,1,4,3,Analytical,Practical,Work with Data,Data Analyst
U00003,5,2,3,1,1,4,4,5,2,1,3,2,1,1,4,2,Analytical,Project-Based,Work with Data,Data Analyst
U00004,4,5,2,1,2,4,5,5,4,1,3,1,1,2,4,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00005,4,2,2,2,1,4,3,5,2,1,4,1,2,2,4,3,Analytical,Project-Based,Work with Data,Data Analyst
U00006,5,5,2,2,2,4,4,4,3,1,3,1,2,3,4,2,Analytical,Visual,Exploring Options,Data Analyst
U00007,5,3,3,2,2,5,5,4,4,2,3,1,2,1,3,3,Analytical,Visual,Work with Data,Data Analyst
U00008,5,4,2,2,1,4,4,5,2,3,4,1,2,1,5,3,Analytical,Visual,Work with Data,Data Analyst
U00009,4,2,1,2,1,4,4,4,4,2,2,1,2,2,3,3,Analytical,Visual,Work with Data,Data Analyst
U00010,5,4,2,2,1,3,4,5,3,2,4,2,1,2,4,2,Analytical,Project-Based,Work with Data,Data Analyst
U00011,4,3,2,1,2,4,4,5,3,1,2,2,1,2,5,2,Analytical,Practical,Work with Data,Data Analyst
U00012,5,3,2,1,2,4,5,5,4,2,3,1,3,1,4,2,Analytical,Practical,Work with Data,Data Analyst
U00013,5,5,2,1,2,5,3,4,4,3,2,1,2,1,3,3,Analytical,Practical,Work with Data,Data Analyst
U00014,5,4,2,1,2,5,4,4,3,1,3,1,1,1,5,3,Analytical,Visual,Exploring Options,Data Analyst
U00015,4,3,2,1,1,4,4,5,4,1,3,1,2,2,4,2,Analytical,Visual,Work with Data,Data Analyst
U00016,4,4,2,2,2,5,5,4,3,2,5,1,1,2,5,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00017,5,5,3,2,3,4,3,4,4,2,3,1,1,1,4,2,Analytical,Visual,Work with Data,Data Analyst
U00018,5,3,2,2,2,3,4,4,4,2,3,2,2,1,5,3,Analytical,Practical,Work with Data,Data Analyst
U00019,3,2,2,2,1,5,3,5,3,2,2,1,1,1,3,3,Analytical,Practical,Work with Data,Data Analyst
U00020,4,5,3,1,2,5,3,4,4,2,3,1,1,1,5,3,Analytical,Practical,Exploring Options,Data Analyst
U00021,5,3,2,2,1,5,3,5,4,2,3,3,1,2,3,2,Analytical,Practical,Work with Data,Data Analyst
U00022,4,4,2,1,1,4,5,4,4,3,2,1,2,1,5,2,Analytical,Visual,Exploring Options,Data Analyst
U00023,4,2,3,2,2,4,4,5,4,2,2,1,1,2,5,3,Analytical,Project-Based,Work with Data,Data Analyst
U00024,5,3,2,1,1,5,5,5,4,1,3,2,2,2,3,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00025,5,2,3,2,2,4,4,5,3,3,2,2,2,2,3,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00026,5,4,2,2,1,5,5,4,3,2,3,1,2,2,3,3,Analytical,Visual,Exploring Options,Data Analyst
U00027,5,4,3,1,2,3,4,5,3,2,1,2,2,1,4,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00028,5,4,3,2,2,4,4,4,3,2,4,2,1,2,3,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00029,5,4,3,2,2,5,4,4,3,1,2,3,2,1,3,2,Analytical,Practical,Exploring Options,Data Analyst
U00030,4,3,2,2,2,4,5,4,4,2,3,1,1,1,3,3,Analytical,Visual,Work with Data,Data Analyst
U00031,4,3,3,1,2,3,3,5,4,3,2,1,2,2,3,1,Analytical,Visual,Exploring Options,Data Analyst
U00032,4,4,2,2,2,4,3,4,3,3,4,1,1,2,5,2,Analytical,Visual,Exploring Options,Data Analyst
U00033,4,3,2,2,1,4,4,5,5,1,3,1,1,1,4,3,Analytical,Project-Based,Work with Data,Data Analyst
U00034,5,3,4,2,1,5,2,5,4,3,2,1,2,1,3,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00035,4,2,3,2,2,4,3,4,3,2,2,1,2,1,3,3,Analytical,Visual,Exploring Options,Data Analyst
U00036,3,5,3,1,1,5,5,5,2,2,4,2,1,1,4,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00037,5,2,3,1,2,4,4,4,4,1,2,2,2,1,5,3,Analytical,Project-Based,Work with Data,Data Analyst
U00038,4,3,1,2,2,5,5,4,4,2,3,1,1,1,5,3,Analytical,Project-Based,Work with Data,Data Analyst
U00039,5,2,2,2,2,3,4,4,4,2,5,1,2,1,4,2,Analytical,Visual,Exploring Options,Data Analyst
U00040,4,3,3,2,1,4,4,5,3,1,3,2,2,2,3,2,Analytical,Practical,Work with Data,Data Analyst
U00041,5,3,3,2,1,4,4,5,3,1,2,1,1,1,3,2,Analytical,Visual,Exploring Options,Data Analyst
U00042,4,3,2,1,1,5,4,4,2,3,2,1,1,2,4,3,Analytical,Practical,Work with Data,Data Analyst
U00043,5,2,2,2,2,5,4,4,4,2,3,2,2,2,5,2,Analytical,Visual,Exploring Options,Data Analyst
U00044,5,4,3,1,1,5,5,5,3,2,2,1,2,1,4,3,Analytical,Visual,Exploring Options,Data Analyst
U00045,5,3,2,2,1,5,3,5,3,2,4,2,2,2,4,2,Analytical,Practical,Work with Data,Data Analyst
U00046,5,2,2,3,2,5,4,5,2,2,2,1,1,1,5,2,Analytical,Visual,Work with Data,Data Analyst
U00047,4,3,2,3,1,5,3,4,4,2,1,1,2,2,4,3,Analytical,Practical,Exploring Options,Data Analyst
U00048,5,3,2,1,2,4,4,5,4,3,3,2,2,2,5,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00049,4,3,2,1,1,5,3,4,5,2,2,2,3,1,4,3,Analytical,Practical,Work with Data,Data Analyst
U00050,5,4,2,2,2,4,3,5,4,2,3,3,1,1,5,2,Analytical,Practical,Exploring Options,Data Analyst
U00051,4,4,3,2,2,5,3,5,3,3,3,2,2,1,3,2,Analytical,Visual,Work with Data,Data Analyst
U00052,5,3,2,1,1,5,2,4,3,1,3,2,1,1,5,3,Analytical,Practical,Work with Data,Data Analyst
U00053,4,2,2,2,1,5,5,5,4,2,2,2,2,2,5,1,Analytical,Visual,Exploring Options,Data Analyst
U00054,5,4,3,2,2,4,3,4,2,2,2,1,1,2,4,3,Analytical,Practical,Work with Data,Data Analyst
U00055,5,4,2,2,2,3,4,5,3,2,4,1,1,1,4,3,Analytical,Practical,Work with Data,Data Analyst
U00056,5,4,2,1,2,3,4,4,3,2,3,1,1,2,5,3,Analytical,Visual,Work with Data,Data Analyst
U00057,5,5,2,2,1,5,3,5,3,3,4,2,1,2,5,2,Analytical,Project-Based,Exploring Options,Data Analyst
U00058,4,2,1,2,3,4,3,3,3,1,2,1,1,1,5,2,Analytical,Visual,Work with Data,Data Analyst
U00059,5,2,1,2,1,4,4,5,3,1,2,2,2,1,3,3,Analytical,Project-Based,Exploring Options,Data Analyst
U00060,5,3,2,1,2,4,4,5,3,1,5,3,2,1,5,3,Analytical,Visual,Work with Data,Data Analyst
U00061,3,2,2,2,3,5,2,4,4,3,4,1,3,1,4,3,Analytical,Visual,Work with Data,Data Analyst
U00062,5,5,3,1,1,5,3,3,3,2,4,1,1,1,3,2,Analytical,Practical,Work with Data,Data Analyst
U00063,5,3,2,1,2,5,3,5,4,1,4,1,2,2,5,3,Analytical,Visual,Work with Data,Data Analyst
U00064,4,4,3,2,2,4,3,5,4,2,3,1,1,2,5,3,Analytical,Visual,Exploring Options,Data Analyst
U00065,4,3,2,1,1,5,3,5,3,3,3,1,1,1,3,3,Analytical,Practical,Exploring Options,Data Analyst
U00066,4,3,3,2,1,4,3,4,4,2,4,1,2,1,3,3,Analytical,Visual,Exploring Options,Data Analyst
U00067,5,2,2,2,2,3,5,4,4,1,2,2,1,2,5,2,Analytical,Practical,Exploring Options,Data Analyst
U00068,4,3,3,1,2,3,4,4,3,2,4,1,1,1,3,2,Analytical,Project-Based,Work with Data,Data Analyst
U00069,5,3,3,1,3,4,3,5,3,1,2,2,1,1,3,2,Analytical,Visual,Work with Data,Data Analyst
U00070,5,3,3,1,2,4,4,4,4,2,2,2,2,1,3,3,Analytical,Practical,Exploring Options,Data Analyst
U00071,4,3,3,1,2,5,4,5,4,2,2,2,1,1,3,2,Analytical,Visual,Work with Data,Data Analyst
U00072,4,2,3,1,2,4,3,5,4,2,4,2,1,2,5,2,Analytical,Visual,Exploring Options,Data Analyst
U00073,4,3,3,1,2,4,4,5,4,2,3,1,1,3,3,2,Analytical,Practical,Exploring Options,Data Analyst
